titles,released,developers,publishers,genres
Ten Desires,2011,Team Shanghai Alice,Team Shanghai Alice,"Shooter, Indie"
Ten Pin Alley,1996,Adrenalin Entertainment,ASC Games,Sport
Terminator 3: War of the Machines,2004,Clevers Games,Atari,Shooter
Terminator Salvation,2009,GRIN,Equity Games,"Shooter, Arcade"
Terminus,2000,Vicarious Visions,Vatical Entertainment LLC,Indie
TerraFire,2000,ORT Software,ORT Software,"Shooter, Arcade"
Terraria,2011,Re-Logic,Re-Logic,"Platform, Role-playing (RPG), Simulator, Strategy, Adventure, Indie"
Test Drive,2002,Pitbull Syndicate,Infogrames,"Racing, Simulator, Sport"
Test Drive 5,1998,Pitbull Syndicate,Accolade,Racing
Test Drive 6,1999,Pitbull Syndicate,Infogrames North AmericaCryo Interactive,"Racing, Simulator, Sport"
Test Drive Off-Road,1997,Elite Systems,AccoladeEidos Interactive,Racing
Test Drive Off-Road 2,1998,Accolade,Accolade,Racing
Test Drive Off-Road 3,1999,Infogrames North America,Infogrames North America,Racing
Test Drive Unlimited,2006,Eden Games,Atari,Racing
Test Drive Unlimited 2,2011,Eden Games,Atari,Racing
TetriNET,1997,St0rmCat,,"Puzzle, Strategy"
Tetris Worlds,2001,"Radical Entertainment, Blue Planet Software, 3d6 Games",THQ,"Sport, Arcade"
Tex Murphy: Overseer,1998,Access Software,Access Software,Adventure
Theatre of War,2007,1C Company,Battlefront.com,"Real Time Strategy (RTS), Role-playing (RPG), Simulator, Strategy"
theHunter,2009,Avalanche Studios,Emote Games,Simulator
Theme Hospital,1997,Bullfrog Productions,Electronic Arts,"Real Time Strategy (RTS), Simulator, Strategy"
Theme Park Inc,2001,"Bullfrog Productions, Climax Group",Electronic Arts,"Simulator, Strategy"
Theme Park World,1999,Bullfrog Productions,Electronic Arts,"Simulator, Strategy"
They Hunger,1999,Black Widow Games,PC Gamer,"Shooter, Adventure, Indie"
The Fairyland Story,1997,Tokai Communications,Hasbro Interactive,"Platform, Arcade"
Thief: Deadly Shadows,2004,Ion Storm,Eidos Interactive,Shooter
Thief: The Dark Project,1998,Looking Glass Studios,Eidos Interactive,"Shooter, Simulator, Adventure"
Thief II: The Metal Age,2000,Looking Glass Studios,Eidos Interactive,"Shooter, Simulator, Adventure"
The Thing,2002,Computer Artworks,"Black Label Games, Konami",Platform
Thorgal: Curse of Atlantis,2002,Cryo Interactive Entertainment,Le Lombard,Adventure
Three Cards to Midnight,2009,Big Finish Games,Big Finish Games,Adventure
Three Kingdoms: Fate of the Dragon,2001,Overmax Studios,Eidos Interactive,"Real Time Strategy (RTS), Strategy"
Three Lions,1998,Z-Axis,BMG Interactive,Sport
The Three Musketeers,2005,Legendo Entertainment,Legendo Entertainment,Adventure
Thrillville: Off the Rails,2007,Frontier Developments,LucasArts,"Racing, Simulator, Strategy, Adventure"
Throne of Darkness,2001,Click Entertainment,Sierra Studios,"Point-and-click, Adventure"
Through the Woods,2016,Antagonist,1C Publishing EU,Adventure
Thunder Truck Rally,1997,Reflections,Psygnosis,"Racing, Sport"
Tibia,1997,CipSoft GmbH,CipSoft GmbH,Role-playing (RPG)
Tiger Woods PGA Tour 2005,2004,EA Sports,EA Games,Sport
Tiger Woods PGA Tour 06,2005,EA Sports,EA Games,Sport
Tiger Woods PGA Tour 07,2006,EA Sports,EA Games,Sport
Tiger Woods PGA Tour 08,2007,EA Tiburon,EA Sports,"Simulator, Sport"
Time Commando,1996,Adeline Software International,"Electronic Arts, Activision","Fighting, Adventure, Arcade"
Timelapse,1996,GTE Interactive Media,GTE Interactive Media,"Point-and-click, Adventure"
Timeline,2000,Timeline Computer Entertainment,Eidos Interactive,"Strategy, Indie"
TimeShift,2007,Saber Interactive,Vivendi Games,"Indie, Arcade"
Timon & Pumbaas Jungle Games,1995,7th Level,Disney Interactive,Arcade
Tintin: Destination Adventure,2001,Destination Software,Infogrames,"Racing, Adventure"
Tintin in Tibet,1996,Infogrames,Infogrames,"Platform, Adventure"
Tiny Brains,2013,Spearhead Games,505 Games,"Platform, Puzzle, Adventure, Indie"
Tiny Toon Adventures: Buster and the Beanstalk,1996,Terraglyph Interactive,Terraglyph Interactive,Point-and-click
TiQal,2008,Slapdash Games,Microsoft Game Studios,Puzzle
Titan Quest,2006,Iron Lore Entertainment,THQ,"Role-playing (RPG), ""Hack and slash/Beat em up"""
Titan Quest: Immortal Throne,2007,Iron Lore Entertainment,THQ,"Role-playing (RPG), ""Hack and slash/Beat em up"""
Titanic: Adventure Out of Time,1996,Cyberflix,"GTE Entertainment, Europress","Point-and-click, Puzzle, Simulator, Strategy, Adventure"
TMNT,2007,Ubisoft Montreal,Ubisoft,"""Hack and slash/Beat em up"", Arcade"
TOCA Race Driver 3,2006,Codemasters,Codemasters,"Racing, Sport"
ToeJam & Earl: Back in the Groove,2019,HumaNature Studios,Adult Swim Games,"Music, Adventure, Indie"
Togainu no Chi,2005,Nitro+chiral,Nitro+chiral,"Adventure, Visual Novel"
Tokimeki Memorial,1997,Konami,Konami,"Simulator, Visual Novel"
Tom Clancys EndWar,2008,Ubisoft Shanghai,Ubisoft,"Role-playing (RPG), Strategy"
Tom Clancys Ghost Recon,2001,Red Storm Entertainment,Ubisoft,"Shooter, Tactical, Adventure"
Tom Clancys Ghost Recon Advanced Warfighter,2006,Ubisoft Paris,Ubisoft,Shooter
Tom Clancys Ghost Recon Advanced Warfighter 2,2007,Red Storm Entertainment,Ubisoft,Shooter
Tom Clancys Ghost Recon: Island Thunder,2003,Red Storm Entertainment,Ubisoft,"Shooter, Simulator, Strategy, Tactical"
Tom Clancys H.A.W.X,2009,Ubisoft Bucharest,Ubisoft,"Simulator, Adventure"
Tom Clancys Politika,1997,Red Storm Entertainment,Red Storm Entertainment,Strategy
Tom Clancys Rainbow Six,1998,Red Storm Entertainment,Red Storm Entertainment,"Shooter, Tactical"
Tom Clancys Rainbow Six 3: Raven Shield,2003,"Ubisoft Montreal, Red Storm Entertainment",Ubisoft,"Shooter, Simulator, Tactical"
Tom Clancys Rainbow Six: Lockdown,2005,Red Storm Entertainment,Ubisoft,"Shooter, Tactical"
Tom Clancys Rainbow Six: Rogue Spear,1999,Red Storm Entertainment,Red Storm Entertainment,"Shooter, Simulator"
Tom Clancys Rainbow Six: Take-Down – Missions in Korea,2001,Ubisoft,Kama Digital Entertainment,"Shooter, Tactical"
Tom Clancys Rainbow Six: Vegas,2006,Ubisoft Montreal,Ubisoft,"Shooter, Strategy, Tactical"
Tom Clancys Rainbow Six: Vegas 2,2008,Ubisoft Montreal,Ubisoft,"Shooter, Strategy, Tactical"
Tom Clancys ruthless.com,1998,Red Storm Entertainment,Red Storm Entertainment,"Strategy, Turn-based strategy (TBS)"
Tom Clancys Splinter Cell,2002,Ubisoft Montreal,"Ubisoft, Aspyr Media","Shooter, Tactical"
Tom Clancys Splinter Cell: Chaos Theory,2005,"Ubisoft Montreal, Ubisoft Annecy",Ubisoft,"Shooter, Adventure"
Tom Clancys Splinter Cell: Conviction,2010,Ubisoft Montreal,Ubisoft,"Shooter, Adventure"
Tom Clancys Splinter Cell: Double Agent,2006,"Ubisoft Shanghai, Ubisoft Montreal, Ubisoft Annecy, Ubisoft Milan",Ubisoft,"Shooter, Tactical"
Tom Clancys Splinter Cell: Pandora Tomorrow,2004,"Ubisoft Shanghai, Ubisoft Annecy, Babaroga",Ubisoft,"Shooter, Adventure"
Tom Clancys SSN,1996,Clancy Interactive Entertainment,Simon & Schuster Interactive,Simulator
Tomb Raider Gold,1998,Core Design,Eidos Interactive,Adventure
Tomb Raider II,1997,Core Design,Eidos Interactive,"Platform, Puzzle, Adventure"
Tomb Raider III,1998,Core Design,Eidos Interactive,Adventure
Tomb Raider: The Last Revelation,1999,Core Design,Eidos Interactive,"Shooter, Puzzle, Adventure"
Tomb Raider Chronicles,2000,Core Design,Eidos Interactive,"Shooter, Adventure"
Tomb Raider: The Angel of Darkness,2003,Core Design,Eidos Interactive,"Shooter, Adventure"
Tomb Raider: Legend,2006,"Crystal Dynamics, Nixxes, Buzz Monkey Software, Human Soft, Fathammer",Eidos Interactive,"Shooter, Platform, Adventure"
Tomb Raider: Anniversary,2007,Crystal Dynamics,Eidos Interactive,"Shooter, Platform, Adventure"
Tomb Raider: Underworld,2008,Crystal Dynamics,Eidos Interactive,Adventure
Tomb Raider,2013,Crystal Dynamics,Square Enix,"Shooter, Adventure"
Tonic Trouble,1999,Ubisoft Montreal,Ubisoft,"Platform, Adventure"
Tony Hawks American Wasteland,2005,Neversoft,"Activision, Aspyr",Sport
Tony Hawks Pro Skater 2,2000,Neversoft,Activision,"Simulator, Sport"
Tony Hawks Pro Skater 3,2001,Neversoft,Activision,Sport
Tony Hawks Pro Skater 4,2002,"Neversoft, Vicarious Visions, Babaroga",Activision,Sport
Tony Hawks Underground 2,2004,"Neversoft, Shaba Games",Activision,Sport
Tony La Russa Baseball 4,1997,Stormfront Studios,Maxis,"Simulator, Sport"
Toonstruck,1996,Burst Studios,Virgin Interactive Entertainment,"Point-and-click, Adventure"
Toontown Online,2003,Walt Disney Internet Group,The Walt Disney Company,Role-playing (RPG)
Top Gun,2010,Doublesix,Paramount Digital Entertainment,Simulator
Top Gun: Combat Zones,2003,Digital Integration,Virgin Interactive,"Shooter, Simulator"
Top Gun: Fire At Will,1996,Spectrum Holobyte,MicroProse,"Shooter, Simulator"
Top Gun: Hornets Nest,1998,Zipper Interactive,MicroProse,Simulator
Top Spin,2003,PAM Development,Atari,"Simulator, Adventure, Indie"
Top Spin 2,2006,Indie Built,2K Sports,"Simulator, Sport"
Top Trumps Adventures: Horror and Predators,2007,"SoGoplay, Ironstone Partners",Ubisoft,Turn-based strategy (TBS)
Top Trumps: Doctor Who,2008,Ironstone Partners,Eidos Interactive,"Puzzle, Turn-based strategy (TBS)"
Torchlight,2009,Runic Games,Runic Games,"Role-playing (RPG), ""Hack and slash/Beat em up"", Adventure"
Torins Passage,1995,Sierra On-Line,Sierra On-Line,Adventure
Total Annihilation,1997,Cavedog Entertainment,GT Interactive,"Real Time Strategy (RTS), Strategy"
Total Annihilation: Battle Tactics,1998,Cavedog Entertainment,GT Interactive,Strategy
Total Annihilation: Kingdoms,1999,Cavedog Entertainment,Cavedog Entertainment,"Real Time Strategy (RTS), Strategy"
Total Annihilation: The Core Contingency,1998,Cavedog Entertainment,GT Interactive,"Real Time Strategy (RTS), Strategy"
Total Club Manager 2003,2002,Electronic Arts,Electronic Arts,"Simulator, Sport, Strategy"
Total Club Manager 2004,2003,Electronic Arts,Electronic Arts,"Simulator, Sport"
Total Club Manager 2005,2004,EA Canada,Electronic Arts,"Simulator, Sport"
Total Immersion Racing,2002,Razorworks,Empire Interactive,"Racing, Simulator"
Total Overdose,2005,Deadline Games,"Sci Entertainment, Eidos","Shooter, Adventure"
Totems,2008,10tacle Studios Belgium,10tacle Studios,"Role-playing (RPG), Adventure, Indie"
Tower of Guns,2014,Terrible Posture Games,Terrible Posture Games,Indie
Toxic Bunny,1996,Celestial Games,Vision Software,"Platform, Adventure, Indie"
Toy Golf,2005,Ninai Games,Zoo Digital Publishing,Sport
Toy Story,1996,Travellers Tales,Disney Interactive,"Platform, Adventure"
Toy Story 2: Buzz Lightyear to the Rescue,1999,Travellers Tales,Activision,Platform
Toy Story 3: The Video Game,2010,Avalanche Software,Disney Interactive Studios,"Platform, Adventure"
TrackMania,2003,Nadeo,"Digital Jesters, Focus, Enlight, Buka, Valve",Racing
TrackMania Sunrise,2005,Nadeo,"Digital Jesters, Focus Home Interactive, Enlight",Racing
Trade Empires,2001,Frog City Software,Take-Two Interactive,Strategy
TradeWars 2002,1999,"Epic Interactive Strategy, Martech Software","Epic Interactive Strategy, Martech Software",Role-playing (RPG)
Traffic Giant,2001,JoWooD Productions,"JoWooD Productions, Macmillan Software","Simulator, Strategy"
Trailer Park Tycoon,2002,Jaleco Entertainment,Jaleco Entertainment,Strategy
tranquility,2001,William A. Romanowski,"TQworld, LLC.","Role-playing (RPG), Simulator"
Transformers: Revenge of the Fallen,2009,Beenox Studios,Activision,"Shooter, Adventure"
Transformers: The Game,2007,Travellers Tales,Activision,"""Hack and slash/Beat em up"""
Trash,2005,Inhuman Games,Inhuman Games,Arcade
Tread Marks,2000,Longbow Digital Arts,Longbow Digital Arts,Racing
Treasure Cove!,1997,The Learning Company,The Learning Company,Adventure
Treasure in the Royal Tower,2001,Her Interactive,DreamCatcher,Adventure
Treasure Planet: Battle at Procyon,2002,Barking Dog Studios,Disney Interactive,"Strategy, Adventure"
Treasure Quest,1996,Sirius Entertainment,Sirius Publishing,"Point-and-click, Puzzle, Adventure"
Tremulous,2006,Dark Legion Development,,"Shooter, Strategy, Arcade"
Trespasser,1998,DreamWorks Interactive,Electronic Arts,"Role-playing (RPG), Tactical, Adventure"
Trial by Magic,1995,Silver Lightning Software,Merit Studios,"Role-playing (RPG), Strategy"
Trials 2: Second Edition,2008,RedLynx,RedLynx,"Platform, Racing, Sport, Indie"
Trials Rising,2019,"RedLynx, Ubisoft Kyiv",Ubisoft,"Racing, Sport"
Tribes: Ascend,2012,Hi-Rez Studios,Hi-Rez Studios,"Shooter, Role-playing (RPG), Sport, Adventure"
Tribes: Vengeance,2004,Irrational Games,Sierra Entertainment,"Shooter, Sport"
Tribes 2,2001,Dynamix,Sierra On-Line,Strategy
TrickStyle,1999,Criterion Games,Acclaim Entertainment,"Racing, Sport"
Trine,2009,Frozenbyte,"Nobilis, SouthPeak Games","Platform, Puzzle, Adventure, Indie"
Triplane Turmoil II,2006,Draconus Entertainment,Draconus Entertainment,Arcade
Triple Play 2000,1999,Treyarch,Electronic Arts,"Simulator, Sport"
Triple Play 97,1996,Electronic Arts Canada,Electronic Arts,"Simulator, Sport"
Triple Play 99,1998,EA Sports,EA Sports,Sport
Trivial Pursuit: Unhinged,2004,Artech Studios,Atari,"Strategy, Quiz/Trivia"
Tron 2.0,2003,Monolith Productions,Buena Vista Interactive,"Shooter, Racing, Role-playing (RPG)"
Tropico,2001,PopTop Software,Gathering of Developers,"Simulator, Strategy"
Tropico 2: Pirate Cove,2003,Frog City Software,"Gathering of Developers, Take-Two Interactive","Simulator, Strategy"
Tropico 3,2009,Haemimont Games,Kalypso Media,"Simulator, Strategy"
Tropico: Paradise Island,2002,BreakAway Games,Take-Two Interactive,"Simulator, Strategy"
True Crime: New York City,2005,Luxoflux,Activision,"Shooter, Adventure"
True Crime: Streets of LA,2003,Luxoflux,Activision,"Fighting, Shooter, Racing, Adventure"
True Love,1995,Software House Parsley,"CD Brothers, Otaku Publishing Ltd.","Simulator, Strategy"
True Remembrance,2006,Shiba Satomi,insani,Visual Novel
The Truth About 9th Company,2008,"Extreme Developers, Kranx Productions",1C Company,Shooter
TubeTwist,2006,21-6 Productions,GarageGames,"Puzzle, Strategy"
Tuneland,1994,7th Level,7th Level,Adventure
Turning Point: Fall of Liberty,2008,Spark Unlimited,Codemasters,Shooter
Turok: Dinosaur Hunter,1997,Iguana Entertainment,Acclaim Entertainment,"Shooter, Adventure"
Turok 2: Seeds of Evil,1998,Iguana Entertainment,Acclaim Entertainment,"Shooter, Adventure"
Turok: Evolution,2003,Super Happy Fun Fun,Acclaim Entertainment,"Shooter, Adventure"
Turok,2008,Propaganda Games,Disney Interactive Studios,"Shooter, Platform, Adventure"
Tux Racer,2000,Jasmin Patry,Sunspire Studios,Racing
Twelve Sky,2007,Alt1,"Alt1, Aeria Games and Entertainment",Role-playing (RPG)
Twinsens Odyssey,1997,Adeline Software International,Activision,"Platform, Puzzle, Role-playing (RPG), Adventure"
Twisted Metal,1996,"Sony Interactive Studios America, SingleTrac",Sony Music Entertainment Japan,"Shooter, Racing"
Twisted Metal 2,1996,"Sony Interactive Studios America, SingleTrac",Sony Interactive Studios America,"Fighting, Shooter, Racing"
Two Thrones,2004,Paradox Entertainment,Strategy First,"Platform, Puzzle, Adventure"
Tycoon City: New York,2006,Deep Red Games,Atari,"Simulator, Strategy"
Typer Shark!,2003,PopCap Games,PopCap Games,Adventure
The Typing of the Dead,1999,"WOW Entertainment, Smilebit",Sega,Shooter
The Typing of the Dead 2,2007,Smilebit,Sega,Shooter
ÜberSoldier,2006,Burut,CDV Software,Shooter
UEFA Euro 2000,2000,EA Canada,EA Sports,Sport
UEFA Euro 2004,2004,EA Canada,EA Sports,Sport
UEFA Euro 2008,2008,"EA Canada, HB Studios",EA Sports,"Simulator, Sport"
UEFA Euro 2012,2012,EA Canada,EA Sports,Sport
UFO: Afterlight,2007,Altar Games,Cenega,"Real Time Strategy (RTS), Strategy, Indie"
UFO: Aftermath,2003,ALTAR Interactive,Cenega,Strategy
UFO: Aftershock,2005,Altar Interactive,Cenega,"Real Time Strategy (RTS), Role-playing (RPG), Strategy"
UFO: Extraterrestrials,2007,Chaos Concept,Tri Synergy,Strategy
U.F.O.s,1997,Artech Digital Entertainment,"Corel Corporation, Hoffmann + Associates",Shooter
Ultima IX: Ascension,1999,Origin Systems,Electronic Arts,"Role-playing (RPG), Adventure"
Ultima Online,1997,"Origin Systems, Electronic Arts",Electronic Arts,Role-playing (RPG)
Ultima Online: Age of Shadows,2003,Origin Systems,Electronic Arts,Role-playing (RPG)
Ultima Online: Samurai Empire,2004,Electronic Arts,Electronic Arts,Role-playing (RPG)
Ultima Online: The Second Age,1998,Origin Systems,Electronic Arts,Role-playing (RPG)
Ultimate Duck Hunting,2006,Mid Carolina Media,Mid Carolina Media,"Shooter, Simulator, Sport"
Ultimate Spider-Man,2005,"Treyarch, Beenox, Vicarious Visions",Activision,Adventure
Uncharted Waters Online,2004,"KOEI, Delfin","KOEI, CJ Internet, The Foreseen Group","Role-playing (RPG), Simulator, Strategy, Adventure"
Uncle Henrys Playhouse,1996,Trilobyte,Trilobyte,"Puzzle, Strategy"
Undefined Fantastic Object,2009,Team Shanghai Alice,Team Shanghai Alice,"Shooter, Indie"
Under Ash,2001,Dar al-Fikr,Dar al-Fikr,"Role-playing (RPG), Adventure, Indie"
Under Siege,2005,Afkar Media,Dar al-Fikr,Shooter
Underlight,1998,Lyra Studios,Lyra Studios,Role-playing (RPG)
Undertale,2015,Toby Fox,Toby Fox,Indie
Universal Combat,2004,Derek Smart,3000AD,"Simulator, Strategy, Indie"
Universe at War: Earth Assault,2007,Petroglyph Games,Sega,"Real Time Strategy (RTS), Strategy"
Unreal,1998,"Epic Games, Digital Extremes",GT Interactive,"Shooter, Platform"
Unreal II: The Awakening,2003,Legend Entertainment,Infogrames,Shooter
Unreal Tournament,1999,"Epic Games, Digital Extremes",GT Interactive,Shooter
Unreal Tournament 2003,2002,Epic Games,Infogrames,Shooter
Unreal Tournament 2004,2004,Epic Games,Atari,Shooter
Unreal Tournament 3,2007,Epic Games,Midway Games,Shooter
Uplink,2001,Introversion Software,Introversion Software,Shooter
Urban Chaos,1999,Mucky Foot Productions,Eidos Interactive,Shooter
Urban Jungle,2005,Urban Development,"Autoklub Rijeka, Talented Programmers Association of Rijeka",Fighting
Urban Legend in Limbo,2015,"Twilight Frontier, Team Shanghai Alice","Twilight Frontier, Team Shanghai Alice",Fighting
Urban Terror,2000,"Silicon Ice Development/Frozen Sand, LLC",,Shooter
Uru: Ages Beyond Myst,2003,Cyan Worlds,Ubisoft,"Puzzle, Adventure"
V-Rally,1997,Eden Studios,Infogrames,Racing
V-Rally 2,1999,Eden Studios,Infogrames Europe,Racing
V-Rally 3,2002,Eden Studios,Atari,Racing
Valkyria Chronicles 4,2018,Sega,Sega,"Real Time Strategy (RTS), Role-playing (RPG), Strategy, Turn-based strategy (TBS), Adventure"
Valorant,2020,Riot Games,Riot Games,"Platform, Role-playing (RPG), ""Hack and slash/Beat em up"""
Vampire: The Masquerade – Bloodlines,2004,Troika Games,Activision,"Role-playing (RPG), Adventure"
Vampire: The Masquerade – Redemption,2000,Nihilistic Software,Activision,"Role-playing (RPG), Adventure"
Vampire: The Masquerade – Swansong,1999,Reldni Productions,Global Star Software,Role-playing (RPG)
A Vampyre Story,2008,Autumn Moon Entertainment,Crimson Cow,Adventure
Vangers,1998,K-D Lab,"Buka Entertainment, Interactive Magic","Racing, Adventure, Indie"
Vanguard Princess,2009,Sugeno,Sugeno,Indie
